,Label,Bird Name
0,0,Birds
1,1,"Ducks, Geese, and Swans"
2,2,"Grouse, Quail, and Allies"
3,3,Loons
4,4,Grebes
5,5,Storks
6,6,"Frigatebirds, Boobies, Cormorants, Darters, and Allies"
7,7,"Pelicans, Herons, Ibises, and Allies"
8,8,"Hawks, Kites, Eagles, and Allies"
9,9,Caracaras and Falcons
10,10,Cranes and Rails
11,11,"Plovers, Sandpipers, and Allies"
12,12,Skuas and Alcids
13,13,"Gulls, Terns, and Allies"
14,14,Pigeons and Doves
15,15,Parrots
16,16,Cuckoos
17,17,Owls
18,18,Nightjars
19,19,Swifts and Hummingbirds
20,20,Kingfishers and Allies
21,21,Woodpeckers
22,22,Perching Birds
23,23,Black-bellied Plover
24,24,Black-bellied Whistling-Duck
25,25,Tyrant Flycatchers
26,26,Semipalmated Plover
27,27,Greater White-fronted Goose
28,28,Black Vulture
29,29,American White Pelican
30,30,Killdeer
31,31,Red-headed Woodpecker
32,32,Shrikes
33,33,Snow Goose
34,34,Chimney Swift
35,35,American Oystercatcher
36,36,Ross's Goose
37,37,Barn Owl
38,38,Vireos
39,39,Black Oystercatcher
40,40,Turkey Vulture
41,41,Brown Pelican
42,42,Brant
43,43,Scaled Quail
44,44,Northern Gannet
45,45,Rock Pigeon
46,46,Black-necked Stilt
47,47,Acorn Woodpecker
48,48,"Jays, Magpies, and Crows"
49,49,Pied-billed Grebe
50,50,American Avocet
51,51,Cackling Goose
52,52,Vaux's Swift
53,53,Osprey
54,54,Crested Caracara
55,55,Larks
56,56,Spotted Sandpiper
57,57,Canada Goose
58,58,Great Blue Heron
59,59,Solitary Sandpiper
60,60,Mute Swan
61,61,Purple Gallinule
62,62,Western Screech-Owl
63,63,Gila Woodpecker
64,64,Swallows
65,65,Greater Yellowlegs
66,66,Swallow-tailed Kite
67,67,Trumpeter Swan
68,68,White-throated Swift
69,69,Chickadees and Titmice
70,70,Willet
71,71,Great Egret
72,72,Tundra Swan
73,73,California Quail
74,74,Red-throated Loon
75,75,Brandt's Cormorant
76,76,Band-tailed Pigeon
77,77,Yellow-billed Cuckoo
78,78,Lesser Yellowlegs
79,79,Golden-fronted Woodpecker
80,80,Verdin
81,81,Wood Duck
